date,series_id,cost,orders,impressions,clicks
2021-03-02,Sparklight|Paid Search|Brand,1829.43122623056,15.0,6161.0,2161.0
2021-03-02,Sparklight|Paid Search|Nonbrand CableOne FP,1699.52805738918,1.0,3445.0,131.0
2021-03-02,Sparklight|Paid Search|Nonbrand NewWave FP,2189.41975968176,3.0,11635.0,441.0
2021-03-02,Sparklight|Paid Social|CableOne FP,1240.28429519825,2.0,136984.0,236.0
2021-03-02,Sparklight|Paid Social|NewWave FP,984.352663238708,2.0,144195.0,248.0
2021-03-03,Cable One|Paid Search|Brand,797.634035072189,14.0,2971.0,650.0
2021-03-03,NewWave|Paid Search|Brand,1530.60963941295,13.0,4204.0,1456.0
2021-03-03,Sparklight|Paid Search|Brand,2657.38688443409,19.0,9159.0,2794.0
2021-03-03,Sparklight|Paid Search|Nonbrand CableOne FP,1422.20917812248,1.0,3445.0,107.0
2021-03-03,Sparklight|Paid Search|Nonbrand NewWave FP,3358.18643172461,4.0,13326.0,588.0
2021-03-03,Sparklight|Paid Social|CableOne FP,1267.87231176879,2.0,136984.0,244.0
2021-03-03,Sparklight|Paid Social|NewWave FP,1006.73683194589,2.0,144173.0,322.0
2021-03-04,Cable One|Paid Search|Brand,708.663568187977,12.0,2818.0,602.0
2021-03-04,NewWave|Paid Search|Brand,1517.72677167141,13.0,4204.0,1457.0
2021-03-04,Sparklight|Paid Search|Brand,2382.24286185088,22.0,8301.0,2723.0
2021-03-04,Sparklight|Paid Search|Nonbrand CableOne FP,1385.37645016072,1.0,3445.0,107.0
2021-03-04,Sparklight|Paid Search|Nonbrand NewWave FP,3481.16078573987,4.0,13479.0,603.0
2021-03-04,Sparklight|Paid Social|CableOne FP,1119.69250100252,2.0,100350.0,188.0
2021-03-04,Sparklight|Paid Social|NewWave FP,860.762352203598,2.0,97844.0,236.0
2021-03-05,Cable One|Paid Search|Brand,671.270930797797,11.0,2804.0,593.0
2021-03-05,NewWave|Paid Search|Brand,1591.88135483074,13.0,4204.0,1527.0
2021-03-05,Sparklight|Paid Search|Brand,2246.42367569958,23.0,7930.0,2747.0
